varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
1,UNITID,N,6,Cont,,Unique identification number of the institution
61386,F1A01,N,12,Cont,XF1A01,Total current assets
65001,F1A31,N,12,Cont,XF1A31,"Depreciable capital assets, net of depreciation"
61401,F1A04,N,12,Cont,XF1A04,Other noncurrent assets
61406,F1A05,N,12,Cont,XF1A05,Total noncurrent assets
61411,F1A06,N,12,Cont,XF1A06,Total assets
61416,F1A07,N,12,Cont,XF1A07,"Long-term debt, current portion"
61421,F1A08,N,12,Cont,XF1A08,Other current liabilities
61426,F1A09,N,12,Cont,XF1A09,Total current liabilities
61431,F1A10,N,12,Cont,XF1A10,Long-term debt
61436,F1A11,N,12,Cont,XF1A11,Other noncurrent liabilities
61441,F1A12,N,12,Cont,XF1A12,Total noncurrent liabilities
61446,F1A13,N,12,Cont,XF1A13,Total liabilities
61451,F1A14,N,12,Cont,XF1A14,"Invested in capital assets, net of related debt"
61456,F1A15,N,12,Cont,XF1A15,Restricted-expendable
61461,F1A16,N,12,Cont,XF1A16,Restricted-nonexpendable
61466,F1A17,N,12,Cont,XF1A17,Unrestricted
61471,F1A18,N,12,Cont,XF1A18,Total net assets
61491,F1A214,N,12,Cont,XF1A214,Land  improvements - Ending balance
61511,F1A224,N,12,Cont,XF1A224,Infrastructure - Ending balance
61531,F1A234,N,12,Cont,XF1A234,Buildings - Ending balance
65006,F1A324,N,12,Cont,XF1A324,"Equipment, including art and library collections - Ending balance"
61611,F1A274,N,12,Cont,XF1A274,Construction in progress - Ending balance
61615,F1A27T4,N,12,Cont,XF1A27T4,"Total for plant, property and equipment - Ending balance"
61631,F1A284,N,12,Cont,XF1A284,Accumulated depreciation - Ending balance
65011,F1A334,N,12,Cont,XF1A334,"Intangible assets , net of accumulated amortization - Ending balance"
65016,F1A344,N,12,Cont,XF1A344,Other capital assets - Ending balance (New Aligned)
61636,F1B01,N,12,Cont,XF1B01,"Tuition and fees, after deducting discounts and allowances"
61641,F1B02,N,12,Cont,XF1B02,Federal operating grants and contracts
61646,F1B03,N,12,Cont,XF1B03,State operating grants and contracts
61651,F1B04,N,12,Cont,XF1B04,Local/private operating grants and contracts
65021,F1B04A,N,12,Cont,XF1B04A,Local operating grants and contracts
65026,F1B04B,N,12,Cont,XF1B04B,Private operating grants and contracts
61656,F1B05,N,12,Cont,XF1B05,Sales and services of auxiliary enterprises
61661,F1B06,N,12,Cont,XF1B06,Sales and services of hospitals
65031,F1B26,N,12,Cont,XF1B26,Sales and services of educational activities
61666,F1B07,N,12,Cont,XF1B07,Independent operations
61671,F1B08,N,12,Cont,XF1B08,Other sources - operating
61676,F1B09,N,12,Cont,XF1B09,Total operating revenues
61681,F1B10,N,12,Cont,XF1B10,Federal appropriations
61686,F1B11,N,12,Cont,XF1B11,State appropriations
61691,F1B12,N,12,Cont,XF1B12,"Local appropriations, education district taxes, and similar support"
61696,F1B13,N,12,Cont,XF1B13,Federal nonoperating grants
61701,F1B14,N,12,Cont,XF1B14,State nonoperating grants
61706,F1B15,N,12,Cont,XF1B15,Local nonoperating grants
61711,F1B16,N,12,Cont,XF1B16,"Gifts, including contributions from affiliated organizations"
61716,F1B17,N,12,Cont,XF1B17,Investment income
61821,F1B18,N,12,Cont,XF1B18,Other nonoperating revenues
61826,F1B19,N,12,Cont,XF1B19,Total nonoperating revenues
65033,F1B27,N,12,Cont,XF1B27,Total operating and nonoperating revenues
61831,F1B20,N,12,Cont,XF1B20,Capital appropriations
61836,F1B21,N,12,Cont,XF1B21,Capital grants and gifts
61841,F1B22,N,12,Cont,XF1B22,Additions to permanent endowments
61846,F1B23,N,12,Cont,XF1B23,Other revenues and additions
61851,F1B24,N,12,Cont,XF1B24,Total other revenues and additions
61856,F1B25,N,12,Cont,XF1B25,Total all revenues and other additions
61861,F1C011,N,12,Cont,XF1C011,Instruction - Current year total
61866,F1C012,N,12,Cont,XF1C012,Instruction - Salaries and wages
61871,F1C013,N,12,Cont,XF1C013,Instruction - Employee fringe benefits
65036,F1C016,N,12,Cont,XF1C016,Instruction - Operations and maintenance of plant
61876,F1C014,N,12,Cont,XF1C014,Instruction - Depreciation
65037,F1C017,N,12,Cont,XF1C017,Instruction - Interest
61881,F1C015,N,12,Cont,XF1C015,Instruction - All other
61886,F1C021,N,12,Cont,XF1C021,Research - Current year total
61891,F1C022,N,12,Cont,XF1C022,Research - Salaries and wages
61896,F1C023,N,12,Cont,XF1C023,Research - Employee fringe benefits
65041,F1C026,N,12,Cont,XF1C026,Research - Operations and maintenance of plant
61901,F1C024,N,12,Cont,XF1C024,Research - Depreciation
65042,F1C027,N,12,Cont,XF1C027,Research - Interest
61906,F1C025,N,12,Cont,XF1C025,Research - All other
61911,F1C031,N,12,Cont,XF1C031,Public service - Current year total
61916,F1C032,N,12,Cont,XF1C032,Public service - Salaries and wages
61921,F1C033,N,12,Cont,XF1C033,Public service - Employee fringe benefits
65046,F1C036,N,12,Cont,XF1C036,Public service - Operations and maintenance of plant
61926,F1C034,N,12,Cont,XF1C034,Public service - Depreciation
65047,F1C037,N,12,Cont,XF1C037,Public service - Interest
61931,F1C035,N,12,Cont,XF1C035,Public service - All other
61936,F1C051,N,12,Cont,XF1C051,Academic support - Current year total
61941,F1C052,N,12,Cont,XF1C052,Academic support - Salaries and wages
61946,F1C053,N,12,Cont,XF1C053,Academic support - Employee fringe benefits
65051,F1C056,N,12,Cont,XF1C056,Academic support - Operations and maintenance of plant
61951,F1C054,N,12,Cont,XF1C054,Academic support - Depreciation
65052,F1C057,N,12,Cont,XF1C057,Academic support - Interest
61956,F1C055,N,12,Cont,XF1C055,Academic support - All other
61961,F1C061,N,12,Cont,XF1C061,Student services - Current year total
