varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
1,UNITID,N,6,Cont,,Unique identification number of the institution
20661,EFFYLEV,N,1,Disc,,Level of student
22023,LSTUDY,N,3,Disc,,Original level of study on survey form
20781,EFYTOTLT,N,6,Cont,XEYTOTLT,Grand total
20736,EFYTOTLM,N,6,Cont,XEYTOTLM,Grand total men
20741,EFYTOTLW,N,6,Cont,XEYTOTLW,Grand total women
24176,EFYAIANT,N,6,Cont,XEFYAIAT,American Indian or Alaska Native total
24111,EFYAIANM,N,6,Cont,XEFYAIAM,American Indian or Alaska Native men
24116,EFYAIANW,N,6,Cont,XEFYAIAW,American Indian or Alaska Native women
24181,EFYASIAT,N,6,Cont,XEFYASIT,Asian total
24121,EFYASIAM,N,6,Cont,XEFYASIM,Asian men
24126,EFYASIAW,N,6,Cont,XEFYASIW,Asian women
24186,EFYBKAAT,N,6,Cont,XEFYBKAT,Black or African American total
24131,EFYBKAAM,N,6,Cont,XEFYBKAM,Black or African American men
24136,EFYBKAAW,N,6,Cont,XEFYBKAW,Black or African American women
24171,EFYHISPT,N,6,Cont,XEFYHIST,Hispanic or Latino total
24101,EFYHISPM,N,6,Cont,XEFYHISM,Hispanic or Latino men
24106,EFYHISPW,N,6,Cont,XEFYHISW,Hispanic or Latino women
24191,EFYNHPIT,N,6,Cont,XEFYNHPT,Native Hawaiian or Other Pacific Islander total
24141,EFYNHPIM,N,6,Cont,XEFYNHPM,Native Hawaiian or Other Pacific Islander men
24146,EFYNHPIW,N,6,Cont,XEFYNHPW,Native Hawaiian or Other Pacific Islander women
24196,EFYWHITT,N,6,Cont,XEFYWHIT,White total
24151,EFYWHITM,N,6,Cont,XEFYWHIM,White men
24156,EFYWHITW,N,6,Cont,XEFYWHIW,White women
24201,EFY2MORT,N,6,Cont,XEFY2MOT,Two or more races total
24161,EFY2MORM,N,6,Cont,XEFY2MOM,Two or more races men
24166,EFY2MORW,N,6,Cont,XEFY2MOW,Two or more races women
20776,EFYUNKNT,N,6,Cont,XEYUNKNT,Race/ethnicity unknown total
20726,EFYUNKNM,N,6,Cont,XEYUNKNM,Race/ethnicity unknown men
20731,EFYUNKNW,N,6,Cont,XEYUNKNW,Race/ethnicity unknown women
20746,EFYNRALT,N,6,Cont,XEYNRALT,Nonresident alien total
20666,EFYNRALM,N,6,Cont,XEYNRALM,Nonresident alien men
20671,EFYNRALW,N,6,Cont,XEYNRALW,Nonresident alien women
